"iata","airport"
"EDAY","Strausberg"
"EDHB","Grube Airport"
"EDHE","Uetersen Airfield"
"EHSE","Breda International Airport"
"EHTE","Teuge International Airport",
"KBAZ","New Braunfels National Airport"
"KFCI","Chesterfield County Airport"
"KPVG","Hampton Roads Executive Airport"
"KRMN","Stafford Regional Airport"
"KVBT","Bentonville Municipal Airport"
"LESB","Son Bonet Aerodrome"
"LESL","San Luis Aerodrome"
"LFCQ","Aérodrome de Graulhet-Montdragon"
"LFDG","Gaillac Lisle Sur Tarn Airport"
"LFPF","Beynes Thiverval Airport"
"LFPK","Coulommiers – Voisins Aerodrome"
"LFPX","Aérodrome de Chavenay - Villepreux"
"LILN","Varese-Venegono Airport"
"LSGC","Les Eplatures Airport"
"LSGE","Ecuvillens Airfield"
"LSGL","Lausanne-Blécherette Airport"
"LSGT","Gruyère Airport"
"LSMA","Alpnach"
"LSMP","Payerne Air Base"
"LSPG","Kagiswil Airport"
"LSPL","Langenthal Airport"
"LSTA","Raron Airport"
"LSTO","Môtiers Airport"
"LSZG","Grenchen Airport"
"LSZM","Mollis Airport"
"LSZX","Schanis Airport"
"NZFF","Forest Field Aerodrome"
"NZRT","Rangiora Airfield WMS"
"YSEN","Serpentine Airfield"
"AAA","Anaa Airport"
"AAB","Arrabury Airport"
"AAC","El Arish International Airport"
"AAD","Adado Airport"
"AAE","Rabah Bitat Airport (Les Salines Airport)"
"AAF","Apalachicola Regional Airport"
"AAG","Avelino Vieira Airport"
"AAH","Merzbruck Airport"
"AAI","Arraias Airport"
"AAJ","Cayana Airstrip"
"AAK","Aranuka Airport"
"AAL","Aalborg Airport"
"AAM","Mala Mala Airport"
"AAN","Al Ain International Airport"
"AAO","Anaco Airport"
"AAP","APT Pranoto International Airport"
"AAQ","Anapa Airport"
"AAR","Aarhus Airport"
"AAS","Apalapsili Airport"
"AAT","Altay Airport"
"AAU","Asau Airport"
"AAV","Allah Valley Airport"
"AAX","Araxa Airport"
"AAY","Al Ghaydah Airport"
"AAZ","Quetzaltenango Airport"
"ABA","Abakan International Airport"
"ABB","Asaba International Airport"
"ABC","Albacete Airport"
"ABD","Abadan International Airport"
"ABE","Lehigh Valley International Airport"
"ABF","Abaiang Atoll Airport"
"ABG","Abingdon Airport"
"ABH","Alpha Airport"
"ABI","Abilene Regional Airport"
"ABJ","Port Bouet Airport (Felix Houphouet Boigny Int'l)"
"ABK","Kabri Dar Airport"
"ABL","Ambler Airport"
"ABM","Northern Peninsula Airport"
"ABN","Albina Airstrip"
"ABO","Aboisso Airport"
"ABP","Atkamba Airport"
"ABQ","Albuquerque International Sunport"
"ABR","Aberdeen Regional Airport"
"ABS","Abu Simbel Airport"
"ABT","Al-Baha Domestic Airport"
"ABU","A.A. Bere Tallo Airport"
"ABV","Nnamdi Azikiwe International Airport"
"ABW","Abau Airport"
"ABX","Albury Airport"
"ABY","Southwest Georgia Regional Airport"
"ABZ","Aberdeen Airport"
"ACA","General Juan N. Alvarez International Airport"
"ACB","Antrim County Airport"
"ACC","Kotoka International Airport"
"ACD","Alcides Fernandez Airport"
"ACE","Lanzarote Airport"
"ACH","St. Gallen-Altenrhein Airport"
"ACI","Alderney Airport"
"ACJ","Anuradhapura Airport"
"ACK","Nantucket Memorial Airport"
"ACL","Aguaclara Airport"
"ACM","Arica Airport (Colombia)"
"ACN","Ciudad Acuna International Airport"
"ACP","Sahand Airport"
"ACR","Araracuara Airport"
"ACS","Achinsk Airport"
"ACT","Waco Regional Airport"
"ACU","Achutupo Airport"
"ACV","Arcata-Eureka Airport"
"ACX","Xingyi Wanfenglin Airport"
"ACY","Atlantic City International Airport"
"ACZ","Zabol Airport"
"ADA","Adana Sakirpasa Airport"
"ADC","Andakombe Airport"
"ADD","Addis Ababa Bole International Airport"
"ADE","Aden International Airport"
"ADF","Adiyaman Airport"
"ADG","Lenawee County Airport"
"ADH","Aldan Airport"
"ADI","Arandis Airport"
"ADJ","Amman Civil Airport (Marka International Airport)"
"ADK","Adak Airport"
"ADL","Adelaide Airport"
"ADM","Ardmore Municipal Airport"
"ADN","Andes Airport"
"ADO","Andamooka Airport"
"ADP","Ampara Airport"
"ADQ","Kodiak Airport"
"ADR","Robert F. Swinnie Airport"
"ADS","Addison Airport"
"ADT","Ada Municipal Airport"
"ADU","Ardabil Airport"
"ADV","Ed Daein Airport"
"ADW","Andrews Field (Andrews Air Force Base)"
"ADX","RAF Leuchars"
"ADY","Alldays Airport"
"ADZ","Gustavo Rojas Pinilla International Airport"
"AEA","Abemama Atoll Airport"
"AEB","Baise Bama Airport"
"AEE","Adareil Airport"
"AEG","Aek Godang Airport"
"AEH","Abeche Airport"
"AEK","Aseki Airport"
"AEL","Albert Lea Municipal Airport"
"AEM","Amgu Airport"
"AEO","Aioun el Atrouss Airport"
"AEP","Aeroparque Internacional Jorge Newbery"
"AEQ","Ar Horqin Airport"
"AER","Sochi International Airport"
"AES","Alesund Airport"
"AET","Allakaket Airport"
"AEU","Abu Musa Airport"
"AEX","Alexandria International Airport"
"AEY","Akureyri Airport"
"AFA","San Rafael Airport (Argentina)"
"AFD","Port Alfred Airport"
"AFF","United States Air Force Academy Airfield"
"AFI","Amalfi Airport (Colombia)"
"AFK","Kondavattavan Tank Seaplane Base"
"AFL","Alta Floresta Airport"
"AFN","Jaffrey Airport-Silver Ranch"
"AFO","Afton Municipal Airport"
"AFR","Afore Airport"
"AFS","Zarafshan Airport"
"AFT","Afutara Airport"
"AFW","Fort Worth Alliance Airport"
"AFY","Afyon Airport"
"AFZ","Sabzevar Airport"
"AGA","Agadir-Al Massira Airport"
"AGB","Augsburg Airport"
"AGC","Allegheny County Airport"
"AGD","Anggi Airport"
"AGE","Wangerooge Airport"
"AGF","Agen La Garenne Airport"
"AGG","Angoram Airport"
"AGH","Angelholm-Helsingborg Airport"
"AGI","Wageningen Airstrip"
"AGJ","Aguni Airport"
"AGK","Kagua Airport"
"AGL","Wanigela Airport"
"AGN","Angoon Seaplane Base"
"AGO","Magnolia Municipal Airport"
"AGP","Malaga Airport"
"AGQ","Agrinion Airport"
"AGR","Agra Airport"
"AGS","Augusta Regional Airport at Bush Field"
"AGT","Guarani  International Airport"
"AGU","Lic. Jesus Teran Peredo International Airport"
"AGV","Oswaldo Guevara Mujica Airport"
"AGW","Agnew Airport"
"AGX","Agatti Aerodrome"
"AGZ","Aggeneys Airport"
"AHB","Abha Regional Airport"
"AHC","Amedee Army Airfield"
"AHD","Ardmore Downtown Executive Airport"
"AHE","Ahe Airport"
"AHF","Arapahoe Municipal Airport"
"AHH","Amery Municipal Airport"
"AHI","Amahai Airport"
"AHJ","Hongyuan Airport"
"AHL","Aishalton Airport"
"AHM","Ashland Municipal Airport"
"AHN","Athens Ben Epps Airport"
"AHO","Alghero-Fertilia Airport"
"AHS","Ahuas Airport"
"AHU","Cherif Al Idrissi Airport"
"AHY","Ambatolahy Airport"
"AHZ","Alpe d'Huez Airport"
"AIA","Alliance Municipal Airport"
"AIC","Ailinglaplap Airok Airport"
"AID","Anderson Municipal Airport (Darlington Field)"
"AIE","Aiome Airport"
"AIF","Assis Airport"
"AIG","Yalinga Airport"
"AIH","Aiambak Airport"
"AII","Ali-Sabieh Airport"
"AIK","Aiken Municipal Airport"
"AIL","Ailigandi Airport"
"AIM","Ailuk Airport"
"AIN","Wainwright Airport"
"AIO","Atlantic Municipal Airport"
"AIP","Adampur Airport"
"AIR","Aripuana Airport"
"AIS","Arorae Island Airport"
"AIT","Aitutaki Airport"
"AIU","Enua Airport"
"AIV","George Downer Airport"
"AIW","Ai-Ais Airport"
